checkpoint, Throughput, Average duration
rl_traffic_model_4096_steps.zip, 6428.00, 818.30
rl_traffic_model_8192_steps.zip, 6394.00, 804.50
rl_traffic_model_12288_steps.zip, 6219.00, 828.20
rl_traffic_model_16384_steps.zip, 6314.00, 808.40
rl_traffic_model_20480_steps.zip, 5601.00, 895.80
rl_traffic_model_24576_steps.zip, 6458.00, 808.20
rl_traffic_model_28672_steps.zip, 6413.00, 818.80
rl_traffic_model_32768_steps.zip, 6551.00, 780.60
rl_traffic_model_36864_steps.zip, 6600.00, 816.60
rl_traffic_model_40960_steps.zip, 6916.00, 768.10
rl_traffic_model_45056_steps.zip, 6967.00, 749.30
rl_traffic_model_49152_steps.zip, 6519.00, 798.60
rl_traffic_model_53248_steps.zip, 6992.00, 762.80
rl_traffic_model_57344_steps.zip, 6657.00, 751.30
rl_traffic_model_61440_steps.zip, 7632.00, 671.70
rl_traffic_model_65536_steps.zip, 7825.00, 678.60
rl_traffic_model_69632_steps.zip, 7908.00, 644.00
rl_traffic_model_73728_steps.zip, 7674.00, 694.10
rl_traffic_model_77824_steps.zip, 8102.00, 641.80
rl_traffic_model_81920_steps.zip, 7444.00, 711.50
rl_traffic_model_86016_steps.zip, 7444.00, 711.50
rl_traffic_model_90112_steps.zip, 7702.00, 697.20
rl_traffic_model_94208_steps.zip, 7668.00, 691.90
rl_traffic_model_98304_steps.zip, 7804.00, 682.80
rl_traffic_model_102400_steps.zip, 7542.00, 683.10
rl_traffic_model_106496_steps.zip, 7963.00, 657.50
rl_traffic_model_110592_steps.zip, 7475.00, 714.40
rl_traffic_model_114688_steps.zip, 8133.00, 638.30
rl_traffic_model_118784_steps.zip, 7465.00, 737.90
rl_traffic_model_122880_steps.zip, 8210.00, 629.30
rl_traffic_model_126976_steps.zip, 8210.00, 629.30
rl_traffic_model_131072_steps.zip, 7984.00, 672.40
rl_traffic_model_135168_steps.zip, 7877.00, 671.90
rl_traffic_model_139264_steps.zip, 8014.00, 654.60
rl_traffic_model_143360_steps.zip, 7962.00, 662.30
rl_traffic_model_147456_steps.zip, 7903.00, 660.50
rl_traffic_model_151552_steps.zip, 8127.00, 655.50
rl_traffic_model_155648_steps.zip, 7926.00, 675.70
rl_traffic_model_159744_steps.zip, 7898.00, 626.10
rl_traffic_model_163840_steps.zip, 7972.00, 681.70
rl_traffic_model_167936_steps.zip, 7972.00, 681.70
rl_traffic_model_172032_steps.zip, 7170.00, 713.00
rl_traffic_model_176128_steps.zip, 7691.00, 703.80
rl_traffic_model_180224_steps.zip, 7949.00, 673.30
rl_traffic_model_184320_steps.zip, 7984.00, 677.10
rl_traffic_model_188416_steps.zip, 7680.00, 704.20
rl_traffic_model_192512_steps.zip, 7977.00, 673.30
rl_traffic_model_196608_steps.zip, 7258.00, 766.70
rl_traffic_model_200704_steps.zip, 7741.00, 691.30
rl_traffic_model_204800_steps.zip, 7626.00, 717.40
rl_traffic_model_208896_steps.zip, 7626.00, 717.40
rl_traffic_model_212992_steps.zip, 7765.00, 711.80
rl_traffic_model_217088_steps.zip, 7830.00, 711.90
rl_traffic_model_221184_steps.zip, 7746.00, 713.80
rl_traffic_model_225280_steps.zip, 7956.00, 664.90
rl_traffic_model_229376_steps.zip, 8132.00, 664.40
rl_traffic_model_233472_steps.zip, 7244.00, 727.20
rl_traffic_model_237568_steps.zip, 8105.00, 661.20
rl_traffic_model_241664_steps.zip, 7419.00, 709.60
rl_traffic_model_245760_steps.zip, 7426.00, 734.60
