timestamp,total_vehicles,vehicles_waiting,total_waiting_time,avg_speed_kmh,throughput,avg_occupancy,avg_density,num_bottleneck_edges,total_flow,avg_edge_travel_time,vehicles_arrived,avg_trip_duration,avg_waiting_per_vehicle,phase_green_ratio,avg_queue_length,total_vehicle_minutes_lost
90,260,129,2890.0,17.350587482926773,0,0.03661613566234868,7.298645196746193,79,882000,4955.635862438112,0,0.0,11.115384615384615,1.0,0.35555555555555557,0.0
180,480,319,7541.0,11.98003005739244,0,0.07130419143802313,14.29381767541592,115,1587600,8551.394005101296,0,0.0,15.710416666666667,1.0,0.825,0.0
270,641,393,11048.0,12.756639999843154,5,0.08372017503315747,16.79539481618547,132,2080800,10350.739642100752,5,0.0,17.235569422776912,1.0,0.9388888888888889,0.0
360,751,464,12549.0,12.36312991321414,3,0.09442128594347642,19.04770744487778,144,2430000,11242.483560117054,3,0.0,16.70972037283622,1.0,1.0416666666666667,0.0
450,864,538,15206.0,12.181634776128767,4,0.09973557612738575,20.128023452893036,148,2775600,10984.174456674096,4,0.0,17.599537037037038,1.0,1.1027777777777779,0.0
540,944,651,19410.0,8.708789757846043,4,0.11265822776078228,22.684523497193474,161,3078000,11901.487997083967,4,0.0,20.5614406779661,1.0,1.2555555555555555,0.0
630,997,700,25457.0,9.110522020261094,3,0.11781491748181308,23.752523593917555,166,3254400,12366.07806741262,3,0.0,25.53360080240722,1.0,1.3388888888888888,0.0
720,1089,762,25454.0,8.975753017410502,3,0.1241050313824703,25.043355366116057,163,3495600,12324.484730973563,3,0.0,23.373737373737374,1.0,1.4027777777777777,0.0
810,1134,744,24111.0,9.740831498496084,3,0.12297630946184947,24.81835557500979,164,3664800,12211.504441711857,3,0.0,21.261904761904763,1.0,1.3416666666666666,0.0
900,1195,805,25611.0,9.196634720493869,3,0.12991432646228945,26.26113630942286,172,3848400,12873.835621862778,3,0.0,21.431799163179917,1.0,1.3833333333333333,0.0
990,1245,865,30903.0,7.9367622627371635,2,0.13607444583559775,27.483169678093287,180,3952800,13810.077390304397,2,0.0,24.82168674698795,1.0,1.525,0.0
1080,1299,917,31639.0,7.389548178366677,6,0.13915330650229243,28.016415078063382,179,4161600,13011.001424384198,6,0.0,24.356428021555043,1.0,1.5472222222222223,0.0
1170,1327,936,38791.0,8.427295991718887,2,0.14718804769388585,29.73144473707586,183,4255200,14431.533738242073,2,0.0,29.23210248681236,1.0,1.663888888888889,0.0
1260,1373,921,35569.0,8.504151885430895,6,0.1489844565492152,30.175616560859094,184,4366800,13193.532214737663,6,0.0,25.906045156591407,1.0,1.6833333333333333,0.0
1350,1440,953,31559.0,8.821086082252256,2,0.14980419514610088,30.450239112998172,199,4640400,14880.656896615228,2,0.0,21.915972222222223,1.0,1.6555555555555554,0.0
1440,1483,1024,35084.0,8.464123603828071,6,0.15509201346293247,31.35547575530877,185,4755600,13814.228648713797,6,0.0,23.657451112609575,1.0,1.7305555555555556,0.0
1530,1534,1136,40966.0,6.716067090122262,3,0.16001663790750534,32.46678974059647,190,4946400,13761.640486540315,3,0.0,26.705345501955673,1.0,1.7944444444444445,0.0
1620,1591,1148,46415.0,6.981913299079325,3,0.16503632174573699,33.58917941558354,192,5112000,14546.297903977698,3,0.0,29.17347580138278,1.0,1.8277777777777777,0.0
1710,1612,1219,59907.0,6.418056744024186,3,0.16565429978444354,33.61477464763406,203,5187600,15366.133090479327,3,0.0,37.16315136476427,1.0,1.8444444444444446,0.0
1800,1659,1184,51073.0,7.52737547252971,3,0.16177116099150982,32.70675091991919,195,5346000,14611.661159187697,3,0.0,30.78541289933695,1.0,1.7194444444444446,0.0
1890,1687,1232,51199.0,6.153044651229331,1,0.1660159235331436,33.663730196187174,199,5432400,14272.675583760585,1,0.0,30.349140486069945,1.0,1.7972222222222223,0.0
1980,1734,1275,55493.0,6.42182036346194,3,0.17085558103547402,34.58992810766621,206,5540400,15627.54849927568,3,0.0,32.002883506343714,1.0,1.8972222222222221,0.0
2070,1828,1335,48103.0,5.4651156075125344,3,0.17474516018359565,35.60278699905923,203,5839200,14481.297293650867,3,0.0,26.314551422319475,1.0,1.9083333333333334,0.0
2160,1893,1406,55377.0,5.768539413580133,2,0.1876214407492744,38.051373856493534,221,6120000,15450.68609713946,2,0.0,29.253565768621236,1.0,2.05,0.0
2250,1928,1491,69003.0,5.176059301522931,2,0.1833863288914549,37.031824743329814,211,6130800,14900.40245167629,2,0.0,35.7899377593361,1.0,1.9972222222222222,0.0
2340,1982,1505,72100.0,5.341225629762527,3,0.18188142217084638,36.81272422137926,207,6325200,15977.160087997829,3,0.0,36.3773965691221,1.0,1.975,0.0
2430,2049,1543,69504.0,5.519264548531202,2,0.19255076063892654,39.05611161784499,211,6573600,15372.261403180551,2,0.0,33.920937042459734,1.0,2.0972222222222223,0.0
