Exp_Num,M,L,Throughput,Avg_Duration_Seconds
1,0.0,2.0,18405,405.72
2,0.2,2.0,18621,401.93
3,0.4,2.0,18001,452.83
4,0.6,2.0,18083,437.78
5,0.8,2.0,18266,424.53
6,1.0,2.0,2,0.00
7,1.2,2.0,12573,722.84
8,1.4,2.0,12573,722.84
9,1.6,2.0,12573,722.84
10,1.8,2.0,12573,722.84
11,0.0,2.2,18278,422.46
12,0.2,2.2,18183,439.41
13,0.4,2.2,18348,430.81
14,0.6,2.2,18297,427.77
15,0.8,2.2,18336,417.89
16,1.0,2.2,2,0.00
17,1.2,2.2,12573,722.84
18,1.4,2.2,12573,722.84
19,1.6,2.2,12573,722.84
20,1.8,2.2,12573,722.84
21,0.0,2.4,17899,449.61
22,0.2,2.4,17947,459.29
23,0.4,2.4,18066,444.17
24,0.6,2.4,18469,398.18
25,0.8,2.4,18325,429.80
26,1.0,2.4,2,0.00
27,1.2,2.4,12573,722.84
28,1.4,2.4,12573,722.84
29,1.6,2.4,12573,722.84
30,1.8,2.4,12573,722.84
31,0.0,2.6,16981,505.80
32,0.2,2.6,18473,345.01
33,0.4,2.6,18402,356.01
34,0.6,2.6,18315,420.14
35,0.8,2.6,18021,448.63
36,1.0,2.6,2,0.00
37,1.2,2.6,12573,722.84
38,1.4,2.6,12573,722.84
39,1.6,2.6,12573,722.84
40,1.8,2.6,12573,722.84
41,0.0,2.8,18322,411.11
42,0.2,2.8,16657,411.50
43,0.4,2.8,18215,389.62
44,0.6,2.8,18344,381.12
45,0.8,2.8,18121,428.35
46,1.0,2.8,2,0.00
47,1.2,2.8,12573,722.84
48,1.4,2.8,12573,722.84
49,1.6,2.8,12573,722.84
50,1.8,2.8,12573,722.84
51,0.0,3.0,18506,353.19
52,0.2,3.0,18334,361.65
53,0.4,3.0,18424,363.10
54,0.6,3.0,18436,358.57
55,0.8,3.0,18460,357.14
56,1.0,3.0,2,0.00
57,1.2,3.0,12573,722.84
58,1.4,3.0,12573,722.84
59,1.6,3.0,12573,722.84
60,1.8,3.0,12573,722.84
61,0.0,3.2,18406,355.29
62,0.2,3.2,18148,344.78
63,0.4,3.2,18260,399.78
64,0.6,3.2,18140,348.67
65,0.8,3.2,18369,347.14
66,1.0,3.2,2,0.00
67,1.2,3.2,12573,722.84
68,1.4,3.2,12573,722.84
69,1.6,3.2,12573,722.84
70,1.8,3.2,12573,722.84
