checkpoint, Throughput, Average duration
rl_traffic_model_524288_steps.zip, 8077.00, 695.80
rl_traffic_model_528384_steps.zip, 8123.00, 668.40
rl_traffic_model_532480_steps.zip, 8236.00, 645.50
rl_traffic_model_536576_steps.zip, 8407.00, 621.10
rl_traffic_model_540672_steps.zip, 8038.00, 670.60
rl_traffic_model_544768_steps.zip, 7897.00, 725.40
rl_traffic_model_548864_steps.zip, 7897.00, 725.40
rl_traffic_model_552960_steps.zip, 8324.00, 611.30
rl_traffic_model_557056_steps.zip, 8302.00, 638.90
rl_traffic_model_561152_steps.zip, 8303.00, 643.60
rl_traffic_model_565248_steps.zip, 8355.00, 636.30
rl_traffic_model_569344_steps.zip, 8365.00, 613.30
rl_traffic_model_573440_steps.zip, 8396.00, 644.90
rl_traffic_model_577536_steps.zip, 7881.00, 667.50
rl_traffic_model_581632_steps.zip, 8191.00, 655.10
rl_traffic_model_585728_steps.zip, 8385.00, 640.30
rl_traffic_model_589824_steps.zip, 8385.00, 640.30
rl_traffic_model_593920_steps.zip, 8155.00, 655.90
rl_traffic_model_598016_steps.zip, 8352.00, 644.30
rl_traffic_model_602112_steps.zip, 8275.00, 643.50
rl_traffic_model_606208_steps.zip, 8232.00, 647.00
rl_traffic_model_610304_steps.zip, 8116.00, 653.30
rl_traffic_model_614400_steps.zip, 7925.00, 688.80
rl_traffic_model_618496_steps.zip, 8507.00, 596.00
rl_traffic_model_622592_steps.zip, 8289.00, 637.50
rl_traffic_model_626688_steps.zip, 8348.00, 631.10
rl_traffic_model_630784_steps.zip, 8348.00, 631.10
rl_traffic_model_634880_steps.zip, 8300.00, 640.60
rl_traffic_model_638976_steps.zip, 8007.00, 662.20
rl_traffic_model_643072_steps.zip, 8318.00, 656.50
rl_traffic_model_647168_steps.zip, 8259.00, 648.70
rl_traffic_model_651264_steps.zip, 8278.00, 645.30
rl_traffic_model_655360_steps.zip, 8278.00, 645.30
rl_traffic_model_667648_steps.zip, 8359.00, 623.20
rl_traffic_model_671744_steps.zip, 8359.00, 623.20
rl_traffic_model_675840_steps.zip, 8327.00, 643.10
rl_traffic_model_679936_steps.zip, 8391.00, 612.10
rl_traffic_model_684032_steps.zip, 8307.00, 651.50
rl_traffic_model_688128_steps.zip, 8209.00, 655.80
rl_traffic_model_692224_steps.zip, 8259.00, 662.10
rl_traffic_model_696320_steps.zip, 8259.00, 662.10
rl_traffic_model_700416_steps.zip, 8318.00, 645.00
rl_traffic_model_704512_steps.zip, 8271.00, 646.50
rl_traffic_model_708608_steps.zip, 8323.00, 635.50
rl_traffic_model_712704_steps.zip, 8259.00, 639.40
rl_traffic_model_716800_steps.zip, 8366.00, 632.00
rl_traffic_model_720896_steps.zip, 8193.00, 653.40
rl_traffic_model_724992_steps.zip, 8238.00, 666.20
rl_traffic_model_729088_steps.zip, 8336.00, 625.20
rl_traffic_model_733184_steps.zip, 8237.00, 667.20
rl_traffic_model_737280_steps.zip, 8301.00, 641.20
rl_traffic_model_741376_steps.zip, 8415.00, 621.80
