run,tls,cycle,phase,green_s,label,n_phases
TM,A0,0,0,30.0,NS-LU,3
TM,A0,0,1,30.0,EW-SR,3
TM,A0,0,2,30.0,EW-LU,3
TM,A0,1,0,30.0,NS-LU,3
TM,A0,1,1,30.0,EW-SR,3
TM,A0,1,2,30.0,EW-LU,3
TM,A0,2,0,30.0,NS-LU,3
TM,A0,2,1,30.0,EW-SR,3
TM,A0,2,2,30.0,EW-LU,3
TM,A0,3,0,30.0,NS-LU,3
TM,A0,3,1,30.0,EW-SR,3
TM,A0,3,2,30.0,EW-LU,3
TM,A0,4,0,30.0,NS-LU,3
TM,A0,4,1,30.0,EW-SR,3
TM,A0,4,2,30.0,EW-LU,3
TM,A0,5,0,30.0,NS-LU,3
TM,A0,5,1,30.0,EW-SR,3
TM,A0,5,2,30.0,EW-LU,3
TM,A0,6,0,30.0,NS-LU,3
TM,A0,6,1,30.0,EW-SR,3
TM,A0,6,2,30.0,EW-LU,3
TM,A0,7,0,30.0,NS-LU,3
TM,A0,7,1,30.0,EW-SR,3
TM,A0,7,2,30.0,EW-LU,3
TM,A0,8,0,30.0,NS-LU,3
TM,A0,8,1,30.0,EW-SR,3
TM,A0,8,2,30.0,EW-LU,3
TM,A0,9,0,30.0,NS-LU,3
TM,A0,9,1,30.0,EW-SR,3
TM,A0,9,2,30.0,EW-LU,3
TM,A0,10,0,30.0,NS-LU,3
TM,A0,10,1,30.0,EW-SR,3
TM,A0,10,2,30.0,EW-LU,3
TM,A0,11,0,33.0,NS-LU,3
TM,A0,11,1,29.0,EW-SR,3
TM,A0,11,2,28.0,EW-LU,3
TM,A0,12,0,33.0,NS-LU,3
TM,A0,12,1,29.0,EW-SR,3
TM,A0,12,2,28.0,EW-LU,3
TM,A0,13,0,33.0,NS-LU,3
TM,A0,13,1,29.0,EW-SR,3
TM,A0,13,2,28.0,EW-LU,3
TM,A0,14,0,33.0,NS-LU,3
TM,A0,14,1,29.0,EW-SR,3
TM,A0,14,2,28.0,EW-LU,3
TM,A0,15,0,33.0,NS-LU,3
TM,A0,15,1,29.0,EW-SR,3
TM,A0,15,2,28.0,EW-LU,3
TM,A0,16,0,33.0,NS-LU,3
TM,A0,16,1,29.0,EW-SR,3
TM,A0,16,2,28.0,EW-LU,3
TM,A0,17,0,33.0,NS-LU,3
TM,A0,17,1,29.0,EW-SR,3
TM,A0,17,2,28.0,EW-LU,3
TM,A0,18,0,39.0,NS-LU,3
TM,A0,18,1,26.0,EW-SR,3
TM,A0,18,2,25.0,EW-LU,3
TM,A0,19,0,42.0,NS-LU,3
TM,A0,19,1,25.0,EW-SR,3
TM,A0,19,2,23.0,EW-LU,3
TM,A0,20,0,42.0,NS-LU,3
TM,A0,20,1,25.0,EW-SR,3
TM,A0,20,2,23.0,EW-LU,3
TM,A0,21,0,42.0,NS-LU,3
TM,A0,21,1,25.0,EW-SR,3
TM,A0,21,2,23.0,EW-LU,3
TM,A0,22,0,42.0,NS-LU,3
TM,A0,22,1,25.0,EW-SR,3
TM,A0,22,2,23.0,EW-LU,3
TM,A0,23,0,42.0,NS-LU,3
TM,A0,23,1,25.0,EW-SR,3
TM,A0,23,2,23.0,EW-LU,3
TM,A0,24,0,42.0,NS-LU,3
TM,A0,24,1,25.0,EW-SR,3
TM,A0,24,2,23.0,EW-LU,3
TM,A0,25,0,42.0,NS-LU,3
TM,A0,25,1,25.0,EW-SR,3
TM,A0,25,2,23.0,EW-LU,3
TM,A0,26,0,42.0,NS-LU,3
TM,A0,26,1,25.0,EW-SR,3
TM,A0,26,2,23.0,EW-LU,3
TM,A0,27,0,45.0,NS-LU,3
TM,A0,27,1,24.0,EW-SR,3
TM,A0,27,2,21.0,EW-LU,3
TM,A0,28,0,51.0,NS-LU,3
TM,A0,28,1,21.0,EW-SR,3
TM,A0,28,2,18.0,EW-LU,3
TM,A0,29,0,59.0,NS-LU,3
TM,A0,29,1,17.0,EW-SR,3
TM,A0,29,2,14.0,EW-LU,3
TM,A0,30,0,67.0,NS-LU,3
TM,A0,30,1,12.0,EW-SR,3
TM,A0,30,2,11.0,EW-LU,3
TM,A0,31,0,70.0,NS-LU,3
TM,A0,31,1,10.0,EW-SR,3
TM,A0,31,2,10.0,EW-LU,3
TM,A0,32,0,70.0,NS-LU,3
TM,A0,32,1,10.0,EW-SR,3
TM,A0,32,2,10.0,EW-LU,3
TM,A0,33,0,69.0,NS-LU,3
TM,A0,33,1,11.0,EW-SR,3
TM,A0,33,2,10.0,EW-LU,3
TM,A0,34,0,68.0,NS-LU,3
TM,A0,34,1,11.0,EW-SR,3
TM,A0,34,2,11.0,EW-LU,3
TM,A0,35,0,68.0,NS-LU,3
TM,A0,35,1,11.0,EW-SR,3
TM,A0,35,2,11.0,EW-LU,3
TM,A0,36,0,70.0,NS-LU,3
TM,A0,36,1,10.0,EW-SR,3
TM,A0,36,2,10.0,EW-LU,3
TM,A0,37,0,70.0,NS-LU,3
TM,A0,37,1,10.0,EW-SR,3
TM,A0,37,2,10.0,EW-LU,3
TM,A0,38,0,70.0,NS-LU,3
TM,A0,38,1,10.0,EW-SR,3
TM,A0,38,2,10.0,EW-LU,3
TM,A0,39,0,70.0,NS-LU,3
TM,A0,39,1,10.0,EW-SR,3
TM,A0,39,2,10.0,EW-LU,3
TM,A0,40,0,70.0,NS-LU,3
TM,A0,40,1,10.0,EW-SR,3
TM,A0,40,2,10.0,EW-LU,3
TM,A0,41,0,70.0,NS-LU,3
TM,A0,41,1,10.0,EW-SR,3
TM,A0,41,2,10.0,EW-LU,3
TM,A0,42,0,70.0,NS-LU,3
TM,A0,42,1,10.0,EW-SR,3
TM,A0,42,2,10.0,EW-LU,3
TM,A0,43,0,70.0,NS-LU,3
TM,A0,43,1,10.0,EW-SR,3
TM,A0,43,2,10.0,EW-LU,3
TM,A0,44,0,70.0,NS-LU,3
TM,A0,44,1,10.0,EW-SR,3
TM,A0,44,2,10.0,EW-LU,3
