tls,mean green reallocated per cycle (s),EW-LU,EW-SR,NS-LU,NS-SR
C4,26.3,-10.4,-5.9,-9.8,26.1
B0,25.4,8.8,1.0,-21.9,12.1
A5,24.7,24.2,,-5.6,-18.6
F3,23.7,-5.6,-14.6,-3.6,23.7
B4,22.1,6.8,-2.2,-15.5,11.0
E3,21.1,-6.3,-9.6,-5.2,21.1
C2,21.1,-5.3,-8.0,-7.8,21.1
D0,20.2,-3.3,-15.2,8.6,9.9
C3,20.0,-5.3,-3.1,-11.6,20.0
A4,19.5,-6.5,-12.8,19.4,
A1,18.7,-8.3,7.5,-2.5,3.3
A0,17.9,8.6,-4.0,-4.6,
C0,17.4,3.6,-12.0,0.8,7.7
B2,17.3,-2.3,-7.6,6.7,3.1
E0,17.1,-9.6,-4.5,6.2,8.0
C5,17.0,-4.0,-6.6,-5.8,16.4
F4,16.9,5.1,-10.1,7.9,-2.9
B5,16.5,-4.2,-7.3,-4.9,16.5
D2,16.4,-3.1,-9.7,-2.2,15.1
F5,16.0,2.6,8.7,-11.3,
E4,15.8,-4.3,15.5,-4.6,-6.6
F1,15.7,5.3,5.6,4.3,-15.2
E2,15.4,3.6,2.9,6.6,-13.1
E1,15.0,-7.9,5.4,5.8,-3.3
E5,14.4,-3.3,14.4,-5.9,-5.3
D3,13.9,5.6,-0.7,5.0,-9.9
F0,13.9,13.9,,-7.9,-6.0
A2,13.9,13.0,,-6.7,-6.3
F2,13.4,-4.5,-4.2,-4.7,13.4
D4,13.2,6.0,-8.2,2.2,-0.0
C1,13.2,5.8,-2.1,-1.0,-2.6
B1,12.5,1.0,-7.0,4.3,1.8
D1,12.2,-0.2,-2.8,4.8,-1.8
D5,10.7,-0.1,5.5,-2.9,-2.5
