tls,phase,n_phases,label,green
A0,0,3,NS-LU,SL
A0,1,3,EW-SR,WR
A0,2,3,EW-LU,WL
A1,0,4,NS-SR,NR NS SS
A1,1,4,NS-LU,NL SL
A1,2,4,EW-SR,WR
A1,3,4,EW-LU,WL
A2,0,3,NS-SR,NR
A2,1,3,NS-LU,NL
A2,2,3,EW-LU,WL
A4,0,3,NS-LU,SL
A4,1,3,EW-SR,WR
A4,2,3,EW-LU,WL
A5,0,3,NS-SR,NR
A5,1,3,NS-LU,NL
A5,2,3,EW-LU,WL
B0,0,4,NS-SR,SR
B0,1,4,NS-LU,SL
B0,2,4,EW-SR,ES WR WS
B0,3,4,EW-LU,EL WL
B1,0,4,NS-SR,NR NS SR SS
B1,1,4,NS-LU,NL SL
B1,2,4,EW-SR,ER ES WR WS
B1,3,4,EW-LU,EL WL
B2,0,4,NS-SR,NR
B2,1,4,NS-LU,NL
B2,2,4,EW-SR,ER ES WS
B2,3,4,EW-LU,EL WL
B4,0,4,NS-SR,SR
B4,1,4,NS-LU,SL
B4,2,4,EW-SR,ES WR WS
B4,3,4,EW-LU,EL WL
B5,0,4,NS-SR,NR
B5,1,4,NS-LU,NL
B5,2,4,EW-SR,ER ES WS
B5,3,4,EW-LU,EL WL
C0,0,4,NS-SR,SR
C0,1,4,NS-LU,SL
C0,2,4,EW-SR,ES WR WS
C0,3,4,EW-LU,EL WL
C1,0,4,NS-SR,NR NS SR SS
C1,1,4,NS-LU,NL SL
C1,2,4,EW-SR,ER ES WR WS
C1,3,4,EW-LU,EL WL
C2,0,4,NS-SR,NR NS SR SS
C2,1,4,NS-LU,NL SL
C2,2,4,EW-SR,ER ES WR WS
C2,3,4,EW-LU,EL WL
C3,0,4,NS-SR,NR NS SS
C3,1,4,NS-LU,NL SL
C3,2,4,EW-SR,WR
C3,3,4,EW-LU,WL
C4,0,4,NS-SR,NR NS SR SS
C4,1,4,NS-LU,NL SL
C4,2,4,EW-SR,ER ES WR WS
C4,3,4,EW-LU,EL WL
C5,0,4,NS-SR,NR
C5,1,4,NS-LU,NL
C5,2,4,EW-SR,ER ES WS
C5,3,4,EW-LU,EL WL
D0,0,4,NS-SR,SR
D0,1,4,NS-LU,SL
D0,2,4,EW-SR,ES WR WS
D0,3,4,EW-LU,EL WL
D1,0,4,NS-SR,NR NS SR SS
D1,1,4,NS-LU,NL SL
D1,2,4,EW-SR,ER ES WR WS
D1,3,4,EW-LU,EL WL
D2,0,4,NS-SR,NR NS SR SS
D2,1,4,NS-LU,NL SL
D2,2,4,EW-SR,ER ES WR WS
D2,3,4,EW-LU,EL WL
D3,0,4,NS-SR,NR NS SR SS
D3,1,4,NS-LU,NL SL
D3,2,4,EW-SR,ER ES WR WS
D3,3,4,EW-LU,EL WL
D4,0,4,NS-SR,NR NS SR SS
D4,1,4,NS-LU,NL SL
D4,2,4,EW-SR,ER ES WR WS
D4,3,4,EW-LU,EL WL
D5,0,4,NS-SR,NR
D5,1,4,NS-LU,NL
D5,2,4,EW-SR,ER ES WS
D5,3,4,EW-LU,EL WL
E0,0,4,NS-SR,SR
E0,1,4,NS-LU,SL
E0,2,4,EW-SR,ES WR WS
E0,3,4,EW-LU,EL WL
E1,0,4,NS-SR,NR NS SR SS
E1,1,4,NS-LU,NL SL
E1,2,4,EW-SR,ER ES WR WS
E1,3,4,EW-LU,EL WL
E2,0,4,NS-SR,NR NS SR SS
E2,1,4,NS-LU,NL SL
E2,2,4,EW-SR,ER ES WR WS
E2,3,4,EW-LU,EL WL
E3,0,4,NS-SR,NR NS SR SS
E3,1,4,NS-LU,NL SL
E3,2,4,EW-SR,ER ES WR WS
E3,3,4,EW-LU,EL WL
E4,0,4,NS-SR,NR NS SR SS
E4,1,4,NS-LU,NL SL
E4,2,4,EW-SR,ER ES WR WS
E4,3,4,EW-LU,EL WL
E5,0,4,NS-SR,NR
E5,1,4,NS-LU,NL
E5,2,4,EW-SR,ER ES WS
E5,3,4,EW-LU,EL WL
F0,0,3,NS-SR,SR
F0,1,3,NS-LU,SL
F0,2,3,EW-LU,EL
F1,0,4,NS-SR,NS SR SS
F1,1,4,NS-LU,NL SL
F1,2,4,EW-SR,ER
F1,3,4,EW-LU,EL
F2,0,4,NS-SR,NS SR SS
F2,1,4,NS-LU,NL SL
F2,2,4,EW-SR,ER
F2,3,4,EW-LU,EL
F3,0,4,NS-SR,NS SR SS
F3,1,4,NS-LU,NL SL
F3,2,4,EW-SR,ER
F3,3,4,EW-LU,EL
F4,0,4,NS-SR,NS SR SS
F4,1,4,NS-LU,NL SL
F4,2,4,EW-SR,ER
F4,3,4,EW-LU,EL
F5,0,3,NS-LU,NL
F5,1,3,EW-SR,ER
F5,2,3,EW-LU,EL
