output,share_clipped,min,median,max,std_settled
A0_0,0.0,-7.64,-7.24,-4.25,0.231
A0_1,1.0,-21.21,-20.2,-11.43,0.893
A0_2,0.988,-16.18,-15.19,-8.62,0.703
A0_3,1.0,-189.34,-182.9,-111.33,6.077
A1_0,1.0,-17.53,-16.67,-11.73,0.389
A1_1,1.0,-17.89,-17.02,-11.25,0.493
A1_2,0.988,-17.48,-16.61,-9.52,0.689
A1_3,0.988,-17.41,-16.29,-9.42,0.813
A2_0,0.988,-16.43,-15.75,-9.03,0.488
A2_1,0.963,-12.13,-11.42,-7.06,0.316
A2_2,0.0,-7.13,-6.6,-3.97,0.434
A2_3,1.0,-188.79,-182.36,-111.31,6.041
A4_0,0.0,-0.3,0.64,1.36,0.32
A4_1,0.0,-7.57,-6.1,-2.96,0.933
A4_2,1.0,-21.96,-21.06,-13.19,0.471
A4_3,1.0,-190.48,-183.96,-111.46,6.211
A5_0,0.134,-10.38,-9.68,-7.36,0.256
A5_1,0.976,-13.46,-12.73,-6.77,0.526
A5_2,0.988,-18.23,-17.43,-7.93,0.998
A5_3,1.0,-188.5,-181.98,-110.53,6.127
B0_0,1.0,-24.19,-23.19,-13.01,1.009
B0_1,0.988,-13.19,-12.12,-9.68,0.605
B0_2,0.976,-15.55,-14.1,-6.92,1.004
B0_3,0.988,-17.02,-15.99,-8.25,0.833
B1_0,0.988,-14.26,-13.63,-8.35,0.555
B1_1,0.671,-11.42,-10.2,-5.93,0.584
B1_2,1.0,-23.53,-22.17,-13.51,0.802
B1_3,1.0,-18.03,-17.23,-11.26,0.336
B2_0,1.0,-17.83,-17.18,-11.14,0.506
B2_1,1.0,-18.18,-17.39,-10.03,0.603
B2_2,0.976,-17.51,-16.53,-6.71,0.937
B2_3,1.0,-13.32,-12.44,-10.11,0.291
B4_0,1.0,-27.21,-25.79,-15.51,0.973
B4_1,0.988,-16.32,-15.3,-9.05,0.693
B4_2,0.988,-14.1,-13.05,-8.37,0.502
B4_3,1.0,-19.38,-18.43,-10.31,0.762
B5_0,0.0,2.65,5.2,6.08,0.381
B5_1,0.988,-18.24,-17.5,-9.36,0.636
B5_2,1.0,-23.62,-22.01,-10.94,1.295
B5_3,1.0,-27.55,-26.02,-16.14,0.593
C0_0,1.0,-23.24,-22.37,-12.51,0.932
C0_1,0.988,-15.01,-13.64,-8.41,0.703
C0_2,0.037,-10.03,-9.59,-6.16,0.246
C0_3,0.976,-12.68,-11.99,-7.76,0.334
C1_0,0.976,-13.02,-12.22,-8.23,0.418
C1_1,1.0,-30.26,-28.89,-15.3,1.426
C1_2,0.988,-12.76,-12.27,-8.09,0.265
C1_3,0.988,-13.01,-12.52,-8.82,0.245
C2_0,0.0,-5.31,-4.58,-3.77,0.281
C2_1,0.0,-8.43,-7.31,-6.23,0.446
C2_2,1.0,-23.08,-21.85,-11.99,1.163
C2_3,1.0,-24.89,-23.69,-13.13,1.228
C3_0,0.0,-5.48,-4.37,-3.76,0.395
C3_1,0.89,-11.35,-10.47,-8.38,0.377
C3_2,1.0,-31.86,-30.25,-15.49,1.597
