approach_junction,waiting_s,timeloss_s,blocked,controller,seed
A0,124387.41,153234.5,26,tm,01
A1,435516.34,486288.17,102,tm,01
A2,370720.64,400869.11,114,tm,01
A4,266799.15,299189.76,52,tm,01
A5,127740.0,154026.27,26,tm,01
B0,456346.78,539116.67,110,tm,01
B1,873435.46,1011331.86,261,tm,01
B2,634975.0,705971.72,188,tm,01
B4,502484.1,560982.4,115,tm,01
B5,334886.0,383152.08,90,tm,01
C0,219754.24,289910.55,23,tm,01
C1,544008.66,683734.44,109,tm,01
C2,683178.62,805997.45,149,tm,01
C3,640223.0,738543.85,189,tm,01
C4,778214.05,909668.59,197,tm,01
C5,295098.17,363328.24,79,tm,01
D0,123893.37,162397.47,0,tm,01
D1,299979.72,385662.72,12,tm,01
D2,403126.94,506109.79,50,tm,01
D3,674760.0,815612.77,130,tm,01
D4,727224.71,879990.29,176,tm,01
D5,252193.24,315759.11,37,tm,01
E0,58570.0,80304.18,1,tm,01
E1,160527.86,209669.19,1,tm,01
E2,268039.0,349807.6,17,tm,01
E3,382286.93,485156.66,53,tm,01
E4,432596.45,538667.29,59,tm,01
E5,140170.0,182277.46,2,tm,01
F0,10526.0,14327.33,0,tm,01
F1,54142.75,70531.04,0,tm,01
F2,60714.0,81761.54,2,tm,01
F3,125064.0,167217.82,5,tm,01
F4,163575.0,210549.59,9,tm,01
F5,70754.0,93715.65,0,tm,01
A0,109529.0,136076.34,42,tm,02
A1,361853.41,410265.4,88,tm,02
A2,407655.7,446037.96,110,tm,02
A4,261430.0,294445.67,61,tm,02
A5,129699.0,152157.89,31,tm,02
B0,371461.97,457861.81,108,tm,02
B1,892559.15,1021173.23,261,tm,02
B2,633419.0,703348.69,190,tm,02
B4,479665.19,545459.92,110,tm,02
B5,310863.0,362552.73,103,tm,02
C0,190048.23,254007.01,19,tm,02
C1,534289.52,656392.64,108,tm,02
C2,684324.19,804101.17,171,tm,02
C3,618906.0,720788.4400000001,188,tm,02
C4,667349.34,781657.25,164,tm,02
C5,276245.0,343566.91,86,tm,02
D0,119164.0,157312.7,1,tm,02
D1,254022.0,324965.88,5,tm,02
D2,378172.12,478218.07,34,tm,02
D3,607849.99,740348.25,119,tm,02
D4,705362.0,855203.16,147,tm,02
D5,206718.0,260523.16,21,tm,02
E0,57162.0,77327.81,0,tm,02
E1,146802.03,189229.04,0,tm,02
E2,239148.0,310144.83,8,tm,02
E3,313722.13,404536.38,27,tm,02
E4,403935.18,504854.81,60,tm,02
E5,147384.12,191043.59,4,tm,02
F0,10039.0,13403.86,0,tm,02
F1,42294.0,55180.76,0,tm,02
F2,56460.0,75142.57,0,tm,02
F3,114319.16,151565.97,2,tm,02
F4,171215.21,224827.92,12,tm,02
F5,64588.0,86365.02,0,tm,02
A0,151107.0,181256.67,41,tm,03
A1,479285.13,538980.74,117,tm,03
A2,381611.9,416613.82,109,tm,03
A4,234407.9,263543.43,49,tm,03
A5,122553.0,147939.82,22,tm,03
B0,412229.32,492810.0,120,tm,03
B1,890445.4,1020921.33,252,tm,03
B2,684828.78,753014.74,209,tm,03
B4,462676.2,520729.76,122,tm,03
B5,320589.0,367362.92,80,tm,03
C0,220291.0,286534.28,28,tm,03
C1,550757.9,676323.39,110,tm,03
C2,751156.01,882567.58,193,tm,03
C3,555177.42,659383.07,144,tm,03
C4,735717.67,861284.33,156,tm,03
C5,279273.0,344998.11,69,tm,03
D0,137670.0,176393.41,4,tm,03
D1,284487.98,364354.09,16,tm,03
D2,367095.0,464699.33,40,tm,03
D3,535660.5,664750.81,87,tm,03
D4,671911.19,822353.49,127,tm,03
D5,223913.31,282827.91,36,tm,03
E0,46379.0,62556.23,1,tm,03
E1,159182.0,204995.46,1,tm,03
E2,235484.0,303463.23,11,tm,03
E3,343867.65,440145.22000000003,42,tm,03
E4,422868.94,525234.57,58,tm,03
E5,157302.0,201204.28,4,tm,03
F0,9772.0,12982.82,0,tm,03
F1,44830.0,57588.93,0,tm,03
F2,56868.0,74890.5,1,tm,03
F3,116652.0,155599.36,2,tm,03
F4,189128.48,245992.86,22,tm,03
F5,60528.0,81975.42,2,tm,03
A0,100967.92,127706.72,27,tm,04
A1,380521.28,434099.52,99,tm,04
A2,380528.16,416383.87,97,tm,04
A4,210781.74,239047.53,45,tm,04
A5,124116.0,147898.83,29,tm,04
B0,361982.74,450211.09,94,tm,04
B1,915953.38,1051703.11,269,tm,04
B2,645238.12,712020.87,205,tm,04
B4,424809.6,483875.02,96,tm,04
B5,290649.0,342643.52,91,tm,04
C0,190693.0,254342.94,19,tm,04
C1,562698.19,688510.91,107,tm,04
C2,697717.72,827710.92,182,tm,04
C3,484583.45,581635.26,96,tm,04
C4,597654.34,709815.24,118,tm,04
C5,246568.53,307244.84,71,tm,04
D0,133759.28,174443.77,0,tm,04
D1,292838.58,373442.24,18,tm,04
D2,361209.78,459520.13,36,tm,04
D3,447302.91,566635.31,81,tm,04
D4,548628.64,677506.67,91,tm,04
D5,175726.0,222503.15,13,tm,04
E0,47630.0,67717.91,0,tm,04
E1,128871.32,167709.14,0,tm,04
E2,233863.0,299406.15,6,tm,04
E3,319669.0,409365.37,36,tm,04
E4,352826.34,441173.99,41,tm,04
E5,129182.0,167892.77,3,tm,04
F0,9644.0,12786.13,0,tm,04
F1,33856.0,44884.23,0,tm,04
F2,46483.0,61810.95,0,tm,04
F3,105880.05,141521.33,1,tm,04
F4,137402.71,178939.12,13,tm,04
F5,53837.0,72941.88,3,tm,04
A0,131497.22,166626.87,38,tm,05
A1,432724.29,491927.87,117,tm,05
A2,332502.55,374734.52,63,tm,05
A4,180582.0,207739.67,40,tm,05
A5,122716.0,145182.04,28,tm,05
B0,402040.26,498878.41,111,tm,05
B1,884466.99,1018307.73,273,tm,05
B2,644772.0,712569.28,182,tm,05
B4,467113.99,537082.63,130,tm,05
B5,296372.0,352930.39,98,tm,05
C0,214462.83,282603.51,14,tm,05
C1,530716.65,660823.8,116,tm,05
C2,628344.56,751119.36,152,tm,05
C3,569925.6,673698.82,161,tm,05
C4,804431.46,938122.1,190,tm,05
C5,275636.0,347281.82,71,tm,05
D0,123749.33,160682.55,0,tm,05
D1,265587.0,340368.38,7,tm,05
D2,389616.0,488461.36,41,tm,05
D3,500375.94,623588.17,85,tm,05
D4,573122.79,714758.67,100,tm,05
D5,203574.0,259474.9,12,tm,05
E0,50199.0,68000.93,0,tm,05
E1,168648.78,218511.88,0,tm,05
