controller,seed,waiting_vh,timeloss_vh,blocked
tm,01,3248.8643305555556,3898.5731000000005,2384
tm,02,3046.5707333333335,3663.9130111111112,2280
tm,03,3137.6963,3765.631086111111,2275
tm,04,2826.131327777778,3420.8473416666666,1987
tm,05,2974.063044444444,3605.2361916666664,2127
tm,06,2463.72805,3024.9656944444446,1535
tm,07,3122.1869611111106,3750.417744444444,2304
tm,08,2756.0499388888893,3341.266022222222,1909
tm,09,2552.457322222222,3124.3889611111113,1595
tm,10,2852.757377777778,3453.538922222222,1963
tm,default,2679.209855555556,3260.658302777778,1787
rl,01,2154.6485583333333,2580.140063888889,1487
rl,02,2563.8586916666663,3065.7778500000004,1880
rl,03,2317.092038888889,2776.5304055555557,1560
rl,04,2510.3124555555555,2999.199161111111,1739
rl,05,2364.1096249999996,2824.554066666667,1660
rl,06,2431.683525,2906.4208083333333,1668
rl,07,2367.0066138888883,2830.3126416666673,1643
rl,08,2483.361730555556,2980.2173000000003,1784
rl,09,2276.993683333333,2729.595908333333,1561
rl,10,2397.8333916666666,2870.0022444444444,1719
rl,default,2162.447325,2582.686402777778,1455
fixed,01,2444.248577777778,2921.7636305555557,1763
fixed,02,2471.065811111111,2962.925908333333,1769
fixed,03,2364.458708333333,2832.481802777778,1636
fixed,04,2378.991811111111,2849.6976638888887,1642
fixed,05,2391.3851222222224,2855.9159,1682
fixed,06,2229.767277777778,2670.6557444444443,1507
fixed,07,2357.747738888889,2825.5117777777773,1624
fixed,08,2295.4655638888885,2743.2583972222224,1585
fixed,09,2348.3761944444445,2809.6648972222224,1656
fixed,10,2340.0723972222227,2808.6316972222226,1554
fixed,default,2361.5648305555555,2828.2453250000003,1601
