pair,seed,junction,axis,delta_vh
tm-fixed,01,C2,EW,14.631666666666666
tm-fixed,01,D2,EW,19.698888888888888
tm-fixed,01,D1,NS,21.596944444444443
tm-fixed,01,E1,EW,10.631944444444445
tm-fixed,01,E2,NS,5.204166666666667
tm-fixed,01,E3,NS,33.323055555555555
tm-fixed,01,E4,NS,27.2025
tm-fixed,01,trip end,-,35.45333333333333
tm-fixed,01,C3,NS,44.09
tm-fixed,01,D3,EW,44.42805555555555
tm-fixed,01,D4,NS,41.96083333333333
tm-fixed,01,E4,EW,22.23777777777778
tm-fixed,01,C2,NS,43.9575
tm-fixed,01,C1,NS,24.755555555555556
tm-fixed,01,E3,EW,17.61888888888889
tm-fixed,01,E5,NS,10.232222222222223
tm-fixed,01,D5,EW,23.740555555555556
tm-fixed,01,C5,EW,-2.8513888888888888
tm-fixed,01,F4,EW,4.301944444444445
tm-fixed,01,E1,NS,16.595555555555556
tm-fixed,01,D1,EW,7.008333333333334
tm-fixed,01,D4,EW,47.149166666666666
tm-fixed,01,F3,NS,19.40138888888889
tm-fixed,01,C1,EW,15.807777777777778
tm-fixed,01,C0,NS,14.286111111111111
tm-fixed,01,D0,EW,6.7575
tm-fixed,01,C0,EW,8.605555555555556
tm-fixed,01,B1,EW,23.38361111111111
tm-fixed,01,B0,NS,-11.564444444444444
tm-fixed,01,E0,EW,11.896666666666667
tm-fixed,01,F0,EW,2.167222222222222
tm-fixed,01,F1,NS,6.585
tm-fixed,01,F2,NS,11.35388888888889
tm-fixed,01,F4,NS,14.651666666666667
tm-fixed,01,D3,NS,42.19027777777778
tm-fixed,01,D2,NS,28.704722222222223
tm-fixed,01,C4,EW,1.5819444444444444
tm-fixed,01,C5,NS,12.3225
tm-fixed,01,D0,NS,10.845
tm-fixed,01,B0,EW,14.358333333333333
tm-fixed,01,B1,NS,0.6722222222222223
tm-fixed,01,A1,EW,-5.048055555555556
tm-fixed,01,A0,NS,-7.160555555555556
tm-fixed,01,E0,NS,4.217222222222222
tm-fixed,01,B5,EW,-3.547222222222222
tm-fixed,01,D5,NS,21.141666666666666
tm-fixed,01,A5,EW,0.9113888888888889
tm-fixed,01,A4,NS,-2.5677777777777777
tm-fixed,01,B4,EW,-23.09027777777778
tm-fixed,01,B5,NS,-7.478888888888889
tm-fixed,01,F2,EW,4.628055555555555
tm-fixed,01,E5,EW,19.10972222222222
tm-fixed,01,F5,EW,10.113611111111112
tm-fixed,01,F5,NS,7.3625
tm-fixed,01,B2,NS,-7.509444444444444
tm-fixed,01,F1,EW,3.640277777777778
tm-fixed,01,C4,NS,42.403888888888886
tm-fixed,01,E2,EW,23.927777777777777
tm-fixed,01,F3,EW,1.5327777777777778
tm-fixed,01,F0,NS,1.1241666666666668
tm-fixed,01,C3,EW,18.10861111111111
tm-fixed,01,A2,EW,-15.481111111111112
tm-fixed,01,A1,NS,-17.05472222222222
tm-fixed,01,A4,EW,-14.533888888888889
tm-fixed,01,A5,NS,0.8277777777777777
tm-fixed,01,B4,NS,-12.911666666666667
tm-fixed,01,B2,EW,-25.759444444444444
tm-fixed,01,A2,NS,-2.473333333333333
tm-fixed,01,A0,EW,-0.69
tm-rl,01,C2,EW,22.53527777777778
tm-rl,01,D2,EW,26.1275
tm-rl,01,D1,NS,21.22833333333333
tm-rl,01,E1,EW,12.63
tm-rl,01,E2,NS,9.866111111111111
tm-rl,01,E3,NS,37.18861111111111
tm-rl,01,E4,NS,37.15361111111111
tm-rl,01,trip end,-,45.01888888888889
tm-rl,01,C3,NS,59.465833333333336
tm-rl,01,C4,NS,48.896388888888886
tm-rl,01,D4,EW,54.16888888888889
tm-rl,01,E4,EW,29.035
tm-rl,01,C2,NS,62.44027777777778
tm-rl,01,C1,NS,37.98583333333333
tm-rl,01,E3,EW,26.325555555555557
tm-rl,01,E5,NS,10.448055555555555
tm-rl,01,D5,EW,27.514722222222222
tm-rl,01,C5,EW,-2.6525
tm-rl,01,D3,EW,51.581944444444446
tm-rl,01,D4,NS,61.640277777777776
tm-rl,01,F4,EW,5.5744444444444445
tm-rl,01,F3,NS,21.599722222222223
tm-rl,01,E1,NS,18.02722222222222
tm-rl,01,F2,NS,13.632777777777777
tm-rl,01,E2,EW,29.125833333333333
tm-rl,01,C1,EW,23.496111111111112
tm-rl,01,C0,NS,18.717222222222222
tm-rl,01,D0,EW,9.180833333333334
tm-rl,01,C0,EW,15.810277777777777
tm-rl,01,B1,EW,32.11666666666667
tm-rl,01,B0,EW,21.91611111111111
tm-rl,01,B1,NS,9.500277777777777
tm-rl,01,B0,NS,-9.380833333333333
tm-rl,01,E0,EW,13.279444444444444
tm-rl,01,F0,EW,2.245
tm-rl,01,F1,NS,8.661111111111111
tm-rl,01,F4,NS,27.271944444444443
tm-rl,01,A1,EW,-5.663055555555555
tm-rl,01,A0,NS,-8.329722222222221
tm-rl,01,D1,EW,10.787777777777778
tm-rl,01,D2,NS,33.42472222222222
tm-rl,01,D3,NS,51.85583333333334
tm-rl,01,C4,EW,6.104444444444445
tm-rl,01,C5,NS,12.911111111111111
tm-rl,01,D0,NS,11.45
tm-rl,01,B5,EW,-4.1802777777777775
tm-rl,01,D5,NS,22.913055555555555
tm-rl,01,E5,EW,23.315277777777776
tm-rl,01,B2,NS,-4.184722222222222
tm-rl,01,F1,EW,3.8272222222222223
tm-rl,01,F5,NS,8.135
tm-rl,01,F3,EW,3.778888888888889
tm-rl,01,F0,NS,1.2816666666666667
tm-rl,01,B4,EW,-28.5225
tm-rl,01,B5,NS,-11.841666666666667
tm-rl,01,F5,EW,12.534444444444444
tm-rl,01,C3,EW,20.746944444444445
tm-rl,01,A2,EW,-23.89638888888889
tm-rl,01,A1,NS,-21.63
tm-rl,01,E0,NS,4.658611111111111
tm-rl,01,A4,EW,-18.57638888888889
tm-rl,01,A5,NS,0.3372222222222222
tm-rl,01,B4,NS,-21.104444444444443
tm-rl,01,F2,EW,5.410277777777778
tm-rl,01,B2,EW,-22.09138888888889
tm-rl,01,A5,EW,1.1091666666666666
tm-rl,01,A4,NS,-5.885833333333333
tm-rl,01,A2,NS,-10.376111111111111
tm-rl,01,A0,EW,0.5491666666666667
tm-fixed,02,C2,EW,4.583611111111111
tm-fixed,02,C3,NS,34.70055555555555
tm-fixed,02,D3,EW,29.84888888888889
tm-fixed,02,D4,NS,24.32027777777778
tm-fixed,02,D3,NS,34.95638888888889
tm-fixed,02,E4,EW,16.31861111111111
tm-fixed,02,trip end,-,27.4175
tm-fixed,02,D2,EW,19.0175
tm-fixed,02,E2,EW,14.598611111111111
tm-fixed,02,E3,NS,23.101666666666667
tm-fixed,02,E4,NS,14.091111111111111
tm-fixed,02,C2,NS,47.93638888888889
tm-fixed,02,D1,NS,11.090833333333334
tm-fixed,02,E1,EW,10.44138888888889
tm-fixed,02,C1,NS,12.265277777777778
tm-fixed,02,D1,EW,2.8333333333333335
tm-fixed,02,E3,EW,5.243055555555555
tm-fixed,02,E5,NS,4.87
tm-fixed,02,D5,EW,12.778888888888888
tm-fixed,02,E2,NS,3.6333333333333333
tm-fixed,02,E1,NS,11.68388888888889
tm-fixed,02,D2,NS,27.48777777777778
tm-fixed,02,D4,EW,25.093055555555555
tm-fixed,02,F2,EW,3.5275
tm-fixed,02,F3,NS,15.341388888888888
tm-fixed,02,F4,EW,5.115277777777778
tm-fixed,02,F2,NS,10.297777777777778
tm-fixed,02,F1,NS,1.7458333333333333
tm-fixed,02,C1,EW,4.676111111111111
tm-fixed,02,C0,NS,8.1775
tm-fixed,02,B0,EW,18.06888888888889
tm-fixed,02,B1,NS,-4.648055555555556
tm-fixed,02,A1,EW,-0.4311111111111111
tm-fixed,02,A0,NS,1.66
tm-fixed,02,C0,EW,5.1097222222222225
tm-fixed,02,D0,EW,7.108888888888889
tm-fixed,02,E0,EW,10.218333333333334
tm-fixed,02,B1,EW,32.2025
tm-fixed,02,E0,NS,4.570555555555556
tm-fixed,02,D0,NS,9.096944444444444
tm-fixed,02,C3,EW,20.62388888888889
tm-fixed,02,C4,EW,-16.569444444444443
tm-fixed,02,C5,NS,6.2941666666666665
tm-fixed,02,B5,EW,-5.161388888888889
tm-fixed,02,C4,NS,32.085
tm-fixed,02,A5,EW,0.18194444444444444
tm-fixed,02,D5,NS,5.3
tm-fixed,02,B0,NS,-6.392222222222222
tm-fixed,02,F0,EW,1.5675
tm-fixed,02,E5,EW,16.04277777777778
tm-fixed,02,F5,EW,8.756666666666666
tm-fixed,02,F4,NS,10.581111111111111
tm-fixed,02,F3,EW,3.212222222222222
tm-fixed,02,F5,NS,7.275833333333333
tm-fixed,02,C5,EW,-7.706666666666667
tm-fixed,02,F1,EW,2.835
tm-fixed,02,B4,EW,-36.2925
tm-fixed,02,B5,NS,-10.766666666666667
tm-fixed,02,F0,NS,0.6822222222222222
tm-fixed,02,A2,NS,0.9222222222222223
tm-fixed,02,B2,EW,-19.58138888888889
tm-fixed,02,B2,NS,-3.098333333333333
tm-fixed,02,A2,EW,-9.511666666666667
tm-fixed,02,A1,NS,-8.888055555555555
tm-fixed,02,A4,EW,-17.302222222222223
tm-fixed,02,A5,NS,2.3316666666666666
tm-fixed,02,B4,NS,-13.963611111111112
tm-fixed,02,A4,NS,-4.410555555555556
tm-fixed,02,A0,EW,0.535
tm-rl,02,C2,EW,-8.033055555555556
tm-rl,02,C3,NS,31.2325
tm-rl,02,D3,EW,30.58361111111111
tm-rl,02,D4,NS,33.12861111111111
tm-rl,02,D3,NS,39.913333333333334
tm-rl,02,E4,EW,18.026944444444446
tm-rl,02,trip end,-,25.6775
tm-rl,02,C4,NS,35.878055555555555
tm-rl,02,D4,EW,27.638055555555557
tm-rl,02,C2,NS,34.52388888888889
tm-rl,02,D2,EW,15.761666666666667
tm-rl,02,D2,NS,24.753333333333334
tm-rl,02,D1,NS,5.1963888888888885
tm-rl,02,E1,EW,7.953888888888889
tm-rl,02,C1,NS,-3.865
tm-rl,02,D1,EW,2.620833333333333
tm-rl,02,E3,EW,7.716944444444445
tm-rl,02,E4,NS,10.801944444444445
tm-rl,02,E5,NS,5.5441666666666665
tm-rl,02,D5,EW,16.758055555555554
tm-rl,02,F3,EW,3.7016666666666667
tm-rl,02,F4,NS,8.561388888888889
tm-rl,02,F5,NS,7.519722222222223
tm-rl,02,E5,EW,16.375
tm-rl,02,E3,NS,26.05666666666667
tm-rl,02,E2,NS,1.6655555555555555
tm-rl,02,E1,NS,11.468055555555555
tm-rl,02,E2,EW,17.767777777777777
tm-rl,02,F2,EW,3.01
tm-rl,02,F3,NS,15.806666666666667
tm-rl,02,F4,EW,5.286388888888889
tm-rl,02,F2,NS,10.438611111111111
tm-rl,02,F1,NS,2.055
tm-rl,02,C1,EW,3.9505555555555554
