junction,rl_plan_type,saved_vh,positive_seeds,saved_NS_vh,saved_EW_vh,share_%
D4,equal split,55.3759090909091,11,29.994318181818183,25.381590909090907,10.369126521883189
C3,dominant NS-SR,53.15181818181818,11,37.50585858585859,15.645959595959596,9.952665999408083
D3,equal split,50.97712121212121,11,29.003863636363633,21.973257575757575,9.545454480974595
C2,dominant NS-SR,50.66358585858586,11,45.4035101010101,5.260075757575757,9.486745056546834
D2,dominant NS-SR,41.32373737373738,11,26.611363636363638,14.712373737373737,7.737860528518166
E4,dominant EW-SR,36.90949494949495,11,18.527727272727272,18.381767676767677,6.911294627449313
E3,dominant NS-SR,33.24704545454546,11,24.309191919191917,8.937853535353536,6.22550178329404
C1,equal split,32.980909090909094,11,20.502373737373738,12.478535353535353,6.175667809063675
D5,dominant EW-SR,27.375025252525255,11,11.741388888888888,15.633636363636363,5.125967321225997
E1,equal split,25.25151515151515,11,15.038914141414141,10.212601010101011,4.728340532440953
C4,dominant NS-SR,23.961994949494944,10,36.711212121212114,-12.74921717171717,4.486878164657143
E5,dominant EW-SR,22.206060606060607,11,5.382449494949494,16.823611111111113,4.1580798538014285
D1,equal split,21.212954545454547,11,16.306136363636366,4.906818181818181,3.972120967326664
trip end,,21.073358585858582,11,0.0,0.0,3.9459816552908484
E2,equal split,20.6545202020202,11,2.0626515151515155,18.591868686868686,3.867554262124057
C0,equal split,19.03580808080808,11,13.641212121212122,5.39459595959596,3.564450781514835
D0,equal split,17.809242424242424,11,10.607929292929294,7.201313131313131,3.33477663820738
B1,equal split,15.61810606060606,9,-5.824797979797979,21.44290404040404,2.9244868469563614
F3,dominant NS-SR,14.806919191919194,11,16.485454545454544,-1.6785353535353535,2.772592288250413
F4,equal split,14.006540404040406,11,11.791439393939395,2.21510101010101,2.6227215402447768
E0,equal split,13.588964646464648,11,4.674671717171717,8.914292929292928,2.5445305735616657
F2,dominant NS-SR,12.894343434343433,11,9.38906565656566,3.5052777777777777,2.414462907829183
F5,boundary (3-phase),12.342651515151516,11,4.258207070707071,8.084444444444445,2.311158720049434
F1,equal split,6.148737373737373,11,3.631035353535353,2.5177020202020204,1.1513496902316567
B0,equal split,4.768585858585859,8,-11.468106060606061,16.236691919191923,0.8929166294491978
A5,boundary (3-phase),2.5691666666666664,9,2.1252777777777783,0.44388888888888883,0.48107588046522864
F0,boundary (3-phase),2.1456313131313127,11,0.6428535353535353,1.5027777777777778,0.4017689807791415
A0,boundary (3-phase),2.1126515151515153,6,-0.2057070707070708,2.318358585858586,0.3955935210253836
C5,dominant NS-SR,-2.263181818181818,4,7.263030303030303,-9.52621212121212,-0.42378028640987947
A1,equal split,-5.705227272727272,3,-4.839368686868687,-0.865858585858586,-1.0683025235737298
A2,boundary (3-phase),-9.75861111111111,1,-0.409949494949495,-9.348661616161618,-1.8272977356064382
A4,boundary (3-phase),-18.941136363636364,0,-2.6762121212121213,-16.264924242424243,-3.546723523768404
B5,dominant NS-SR,-19.455681818181816,0,-12.07328282828283,-7.382398989898989,-3.643072044398245
B2,equal split,-20.541717171717174,1,-2.6114141414141416,-17.930303030303033,-3.846431920071961
B4,equal split,-43.50080808080808,0,-19.635252525252525,-23.865555555555556,-8.145516528740972
