junction,rl_plan_type,saved_vh,positive_seeds,saved_NS_vh,saved_EW_vh,share_%
D4,equal split,58.82419191919192,11,32.6460606060606,26.178131313131313,11.36360443320667
D3,equal split,53.25381313131313,11,30.813762626262623,22.440050505050504,10.28752367419623
C3,dominant NS-SR,52.05093434343434,11,36.915328282828284,15.135606060606062,10.055152632953078
C2,dominant NS-SR,45.43507575757577,11,41.743737373737375,3.6913383838383838,8.77710702785565
D2,dominant NS-SR,38.57679292929293,11,25.310505050505057,13.26628787878788,7.45223012587082
E3,dominant NS-SR,37.19982323232323,11,25.5719696969697,11.627853535353536,7.186228359550405
E4,dominant EW-SR,35.820757575757575,11,17.187272727272727,18.63348484848485,6.919821697642319
C1,equal split,28.181237373737375,11,16.031414141414142,12.149823232323234,5.444026063177763
D5,dominant EW-SR,27.658459595959595,11,10.570479797979798,17.0879797979798,5.343036322744127
E1,equal split,23.65017676767677,11,14.060858585858586,9.58931818181818,4.56871985479176
C4,dominant NS-SR,22.886742424242424,9,37.74058080808081,-14.853838383838383,4.421240295677199
C0,equal split,22.096843434343437,11,13.666868686868686,8.429974747474747,4.268648319985765
E5,dominant EW-SR,21.84527777777778,11,4.903737373737373,16.941540404040403,4.220051092944906
E2,equal split,21.619595959595962,11,1.460580808080808,20.159015151515153,4.176454082498795
trip end,,20.432348484848486,10,0.0,0.0,3.9471026842528603
D1,equal split,17.315909090909088,11,12.542146464646464,4.773762626262626,3.3450717279850952
F3,dominant NS-SR,16.096161616161616,11,16.562449494949497,-0.4662878787878787,3.1094420090001953
D0,equal split,15.721742424242423,11,10.360429292929293,5.361313131313132,3.037112046609629
B1,equal split,15.716565656565656,7,-3.3376515151515154,19.054217171717173,3.0361120032906794
F4,equal split,13.326035353535353,8,11.441919191919192,1.8841161616161615,2.5743115116401145
E0,equal split,13.199671717171718,11,4.686287878787879,8.51338383838384,2.549900698137559
F2,dominant NS-SR,12.543358585858586,11,9.170732323232322,3.3726262626262624,2.4231147183351167
F5,boundary (3-phase),12.20300505050505,11,4.211717171717171,7.991287878787878,2.3573655288092485
F1,equal split,5.382070707070707,9,2.988181818181818,2.393888888888889,1.0397035735011353
B0,equal split,4.046666666666667,6,-11.897398989898988,15.944065656565654,0.7817314232928726
A5,boundary (3-phase),2.566994949494949,8,2.1205050505050504,0.44648989898989894,0.49588977317651617
F0,boundary (3-phase),1.8789898989898994,11,0.42638888888888893,1.45260101010101,0.3629815769580655
A0,boundary (3-phase),0.8135606060606062,4,-1.397550505050505,2.2111111111111112,0.15716290539804853
teleport (trip ended by teleport),,-5.0505050505050505e-05,0,0.0,0.0,-9.756520184874352e-06
C5,dominant NS-SR,-0.11770202020202043,5,8.386111111111111,-8.503813131313132,-0.02273757029084972
A1,equal split,-8.18949494949495,2,-6.864444444444445,-1.3250505050505053,-1.582039261017746
A2,boundary (3-phase),-12.587954545454545,1,-2.159772727272727,-10.42818181818182,-2.4317297256583608
A4,boundary (3-phase),-16.56020202020202,0,-2.516489898989899,-14.04371212121212,-3.199084916458821
B5,dominant NS-SR,-20.05580808080808,0,-12.1275,-7.928308080808081,-3.874362948014529
B2,equal split,-21.543030303030303,0,-2.9600252525252526,-18.58300505050505,-4.161663197898525
B4,equal split,-43.634217171717175,0,-21.47111111111111,-22.163106060606058,-8.429218787623583
