tls,d0,d1,d2,d3
A0,51,13,13,13
A1,24,22,22,22
A2,12,12,54,12
A4,60,10,10,10
A5,24,22,22,22
B0,24,22,22,22
B1,24,22,22,22
B2,24,22,22,22
B4,24,22,22,22
B5,60,10,10,10
C0,22,22,24,22
C1,24,22,22,22
C2,57,13,10,10
C3,60,10,10,10
C4,57,11,11,11
C5,57,11,11,11
D0,24,22,22,22
D1,21,21,27,21
D2,45,15,15,15
D3,24,22,22,22
D4,24,22,22,22
D5,13,13,51,13
E0,24,22,22,22
E1,24,22,22,22
E2,24,22,22,22
E3,60,10,10,10
E4,11,11,57,11
E5,10,10,60,10
F0,24,22,22,22
F1,24,22,22,22
F2,60,10,10,10
F3,60,10,10,10
F4,24,22,22,22
F5,10,60,10,10
