time,tls,d0,d1,d2,d3
0,A0,59,10,11,10
0,A1,24,22,22,22
0,A2,10,12,58,10
0,A4,60,10,10,10
0,A5,25,36,18,11
0,B0,24,22,22,22
0,B1,14,54,11,11
0,B2,24,22,22,22
0,B4,24,22,22,22
0,B5,60,10,10,10
0,C0,11,14,47,18
0,C1,24,22,22,22
0,C2,54,16,10,10
0,C3,60,10,10,10
0,C4,36,10,34,10
0,C5,57,11,11,11
0,D0,24,22,22,22
0,D1,11,13,47,19
0,D2,57,11,11,11
0,D3,24,22,22,22
0,D4,24,22,22,22
0,D5,11,10,58,11
0,E0,24,22,22,22
0,E1,24,22,22,22
0,E2,24,22,22,22
0,E3,60,10,10,10
0,E4,11,11,57,11
0,E5,10,10,60,10
0,F0,24,22,22,22
0,F1,24,22,22,22
0,F2,60,10,10,10
0,F3,60,10,10,10
0,F4,24,22,22,22
0,F5,10,60,10,10
90,A0,57,11,11,11
90,A1,24,22,22,22
90,A2,10,12,58,10
90,A4,60,10,10,10
90,A5,35,25,15,15
90,B0,24,22,22,22
90,B1,12,54,12,12
90,B2,24,22,22,22
90,B4,24,22,22,22
90,B5,60,10,10,10
90,C0,13,13,46,18
90,C1,24,22,22,22
90,C2,55,15,10,10
90,C3,60,10,10,10
90,C4,47,11,21,11
90,C5,57,11,11,11
90,D0,24,22,22,22
90,D1,12,12,51,15
90,D2,57,11,11,11
90,D3,24,22,22,22
90,D4,24,22,22,22
90,D5,11,11,57,11
90,E0,24,22,22,22
90,E1,24,22,22,22
90,E2,24,22,22,22
90,E3,60,10,10,10
90,E4,11,11,57,11
90,E5,10,10,60,10
90,F0,24,22,22,22
90,F1,24,22,22,22
90,F2,60,10,10,10
90,F3,60,10,10,10
90,F4,24,22,22,22
90,F5,10,60,10,10
180,A0,57,11,11,11
180,A1,24,22,22,22
180,A2,11,11,57,11
180,A4,60,10,10,10
180,A5,30,20,20,20
180,B0,24,22,22,22
180,B1,15,45,15,15
180,B2,24,22,22,22
180,B4,24,22,22,22
180,B5,60,10,10,10
180,C0,16,16,42,16
180,C1,24,22,22,22
180,C2,56,14,10,10
180,C3,60,10,10,10
180,C4,53,11,15,11
180,C5,57,11,11,11
180,D0,24,22,22,22
180,D1,14,14,48,14
180,D2,51,13,13,13
180,D3,24,22,22,22
180,D4,24,22,22,22
180,D5,11,11,57,11
180,E0,24,22,22,22
180,E1,24,22,22,22
180,E2,24,22,22,22
180,E3,60,10,10,10
180,E4,11,11,57,11
180,E5,10,10,60,10
180,F0,24,22,22,22
180,F1,24,22,22,22
180,F2,60,10,10,10
180,F3,60,10,10,10
180,F4,24,22,22,22
180,F5,10,60,10,10
270,A0,57,11,11,11
270,A1,24,22,22,22
270,A2,10,10,60,10
270,A4,60,10,10,10
270,A5,30,20,20,20
270,B0,24,22,22,22
270,B1,16,42,16,16
270,B2,24,22,22,22
270,B4,24,22,22,22
270,B5,60,10,10,10
270,C0,18,18,36,18
270,C1,24,22,22,22
270,C2,58,12,10,10
270,C3,60,10,10,10
270,C4,55,11,13,11
270,C5,57,11,11,11
270,D0,24,22,22,22
270,D1,16,16,42,16
270,D2,48,14,14,14
270,D3,24,22,22,22
270,D4,24,22,22,22
270,D5,12,12,54,12
270,E0,24,22,22,22
270,E1,24,22,22,22
270,E2,24,22,22,22
270,E3,60,10,10,10
270,E4,11,11,57,11
270,E5,10,10,60,10
270,F0,24,22,22,22
270,F1,24,22,22,22
270,F2,60,10,10,10
270,F3,60,10,10,10
270,F4,24,22,22,22
270,F5,10,60,10,10
360,A0,54,12,12,12
360,A1,24,22,22,22
360,A2,11,11,57,11
360,A4,60,10,10,10
360,A5,30,20,20,20
360,B0,24,22,22,22
360,B1,20,30,20,20
360,B2,24,22,22,22
360,B4,24,22,22,22
360,B5,60,10,10,10
360,C0,20,20,30,20
360,C1,24,22,22,22
360,C2,58,12,10,10
360,C3,60,10,10,10
360,C4,57,11,11,11
360,C5,57,11,11,11
360,D0,24,22,22,22
360,D1,18,18,36,18
360,D2,45,15,15,15
360,D3,24,22,22,22
360,D4,24,22,22,22
360,D5,13,13,51,13
360,E0,24,22,22,22
360,E1,24,22,22,22
360,E2,24,22,22,22
360,E3,60,10,10,10
360,E4,11,11,57,11
360,E5,10,10,60,10
360,F0,24,22,22,22
360,F1,24,22,22,22
360,F2,60,10,10,10
360,F3,60,10,10,10
360,F4,24,22,22,22
360,F5,10,60,10,10
450,A0,54,12,12,12
450,A1,24,22,22,22
450,A2,11,11,57,11
450,A4,60,10,10,10
450,A5,27,21,21,21
450,B0,24,22,22,22
450,B1,20,30,20,20
450,B2,24,22,22,22
450,B4,24,22,22,22
450,B5,60,10,10,10
450,C0,20,20,30,20
450,C1,24,22,22,22
450,C2,58,12,10,10
450,C3,60,10,10,10
450,C4,57,11,11,11
450,C5,57,11,11,11
450,D0,24,22,22,22
450,D1,19,19,33,19
450,D2,45,15,15,15
450,D3,24,22,22,22
450,D4,24,22,22,22
450,D5,12,12,54,12
450,E0,24,22,22,22
450,E1,24,22,22,22
450,E2,24,22,22,22
450,E3,60,10,10,10
450,E4,11,11,57,11
450,E5,10,10,60,10
450,F0,24,22,22,22
450,F1,24,22,22,22
450,F2,60,10,10,10
450,F3,60,10,10,10
450,F4,24,22,22,22
450,F5,10,60,10,10
540,A0,54,12,12,12
540,A1,24,22,22,22
540,A2,11,11,57,11
540,A4,60,10,10,10
540,A5,27,21,21,21
540,B0,24,22,22,22
540,B1,20,30,20,20
540,B2,24,22,22,22
540,B4,24,22,22,22
540,B5,60,10,10,10
540,C0,20,20,30,20
540,C1,24,22,22,22
540,C2,58,12,10,10
540,C3,60,10,10,10
540,C4,60,10,10,10
540,C5,57,11,11,11
540,D0,24,22,22,22
540,D1,18,18,36,18
540,D2,45,15,15,15
540,D3,24,22,22,22
540,D4,24,22,22,22
540,D5,12,12,54,12
540,E0,24,22,22,22
540,E1,24,22,22,22
540,E2,24,22,22,22
540,E3,60,10,10,10
540,E4,11,11,57,11
540,E5,10,10,60,10
540,F0,24,22,22,22
540,F1,24,22,22,22
540,F2,60,10,10,10
540,F3,60,10,10,10
