controller,seed,throughput,avg_duration
tm,1,7338.575342465754,839.05
tm,2,7511.178082191781,808.84
tm,3,7604.876712328767,824.83
tm,4,7978.684931506849,771.21
tm,5,7794.246575342466,799.57
tm,6,8492.54794520548,687.35
tm,7,7539.780821917809,835.17
tm,8,8103.452054794521,741.35
tm,9,8379.616438356165,703.29
tm,10,7909.150684931507,743.36
tm,23423,8193.698630136987,726.97
rl,1,8599.068493150686,581.26
rl,2,8098.520547945206,683.76
rl,3,8455.561643835617,624.98
rl,4,8304.164383561645,669.04
rl,5,8367.287671232878,625.74
rl,6,8388.986301369863,646.13
rl,7,8461.479452054795,626.4
rl,8,8288.876712328767,667.26
rl,9,8490.575342465754,607.97
rl,10,8329.315068493152,645.04
rl,23423,8660.219178082192,577.54
fixed,1,8301.205479452055,636.49
fixed,2,8308.602739726028,663.08
fixed,3,8415.616438356165,623.89
fixed,4,8303.671232876713,623.94
fixed,5,8411.671232876713,629.52
fixed,6,8541.369863013699,592.83
fixed,7,8474.301369863015,641.62
fixed,8,8499.452054794521,609.35
fixed,9,8401.808219178083,625.88
fixed,10,8519.671232876713,621.59
fixed,23423,8401.808219178083,629.63
