id,scheduled,duration_TM,waitingTime_TM,timeLoss_TM,routeLength_TM,departDelay_TM,rerouteNo_TM,duration_RL,waitingTime_RL,timeLoss_RL,routeLength_RL,departDelay_RL,rerouteNo_RL
veh0,0.0,177.0,82.0,106.92,957.17,0.0,1.0,264.0,171.0,194.08,957.17,0.0,1.0
veh1,0.0,491.0,262.0,330.44,2048.39,0.0,4.0,462.0,239.0,300.77,2087.2,0.0,2.0
veh10,3.0,288.0,170.0,198.04,1231.95,0.0,2.0,290.0,162.0,200.12,1231.95,0.0,2.0
veh100,33.0,277.0,116.0,147.0,1762.31,0.0,3.0,244.0,93.0,111.77,1819.51,0.0,2.0
veh1000,331.0,252.0,151.0,180.41,979.36,0.0,1.0,273.0,179.0,201.87,972.47,0.0,1.0
veh10000,3318.0,388.0,251.0,337.57,694.68,62.0,1.0,138.0,67.0,86.88,694.68,0.0,1.0
veh10001,3318.0,1935.0,1412.0,1699.87,3169.56,0.0,8.0,359.0,242.0,287.01,966.33,0.0,1.0
veh10002,3318.0,714.0,415.0,520.25,2377.22,4.0,6.0,429.0,268.0,326.58,1241.7,18.0,2.0
veh10003,3319.0,1050.0,679.0,861.43,2576.57,14.0,8.0,190.0,52.0,81.13,1481.28,0.0,1.0
veh10004,3319.0,1286.0,909.0,1115.34,2328.49,784.0,12.0,1222.0,864.0,1053.71,2263.12,1586.0,12.0
veh10005,3319.0,1508.0,1058.0,1281.82,3063.45,10.0,9.0,183.0,88.0,110.42,1000.84,12.0,1.0
veh10006,3320.0,1826.0,1398.0,1677.79,1984.29,0.0,10.0,394.0,176.0,246.28,2009.24,0.0,2.0
veh10007,3320.0,773.0,421.0,582.68,2619.99,11.0,8.0,1114.0,766.0,924.1,2616.33,252.0,10.0
veh10008,3320.0,590.0,258.0,417.51,2384.87,14.0,5.0,449.0,214.0,274.83,2410.23,454.0,5.0
veh10009,3321.0,519.0,317.0,390.92,1479.37,17.0,2.0,1599.0,1179.0,1379.24,2518.43,0.0,9.0
veh1001,332.0,175.0,74.0,100.77,940.6,2.0,1.0,426.0,264.0,309.51,1479.78,4.0,1.0
veh10011,3321.0,848.0,516.0,668.41,2297.88,12.0,4.0,497.0,299.0,360.16,1741.08,24.0,3.0
veh10012,3322.0,790.0,535.0,690.73,1210.36,0.0,6.0,542.0,432.0,484.37,720.4,1.0,1.0
veh10013,3322.0,705.0,427.0,571.75,1839.63,1.0,5.0,702.0,477.0,570.43,1818.45,4.0,4.0
veh10014,3322.0,210.0,120.0,159.98,681.1,1.0,1.0,121.0,52.0,71.07,681.1,9.0,1.0
